"dvit","ACCID","circ","ar","iPC1","iPC2","iPC3","oPC1","oPC2","oPC3","symPC1","symPC2","symPC3"
"DVIT_1001",10636,0.30275,1.0845,-12.8007,4.06145,-14.5999,-237.881,-49.7551,8.64849,0.179,0.0177,0.030075
"DVIT_1003",10646,0.215,1.1305,24.3933,1.79973,4.30889,-50.7542,11.8451,17.4746,0.0368,-0.0209251,-0.039255
"DVIT_1004",10647,0.261625,1.10962,14.8235,-13.3823,3.65274,-113.887,-45.0709,-13.0125,0.0679525,-0.00390125,-0.003026
"DVIT_1005",10659,0.139375,1.07987,0.523541,-3.9244,3.90947,17.2666,-45.6853,21.7246,-0.00862857,0.02284,-0.0108857
"DVIT_1007",147702,0.274375,1.07225,-15.0696,14.8397,3.81258,-146.867,50.0916,15.247,0.14743,-0.0152136,0.0453387
"DVIT_1008",147703,0.166625,1.07238,-13.0087,0.8582,2.0327,100.174,72.2813,8.56369,-0.00377125,-0.034125,0.01844
"DVIT_1010",147707,0.12675,1.05212,-20.3312,16.4677,9.06313,167.212,60.3404,23.3697,-0.0711,-0.0274333,0.00686667
"DVIT_1011",147710,0.215625,1.10038,-10.8978,3.28204,7.54879,-193.653,74.9336,15.4269,0.160629,-0.00364429,0.0442629
"DVIT_1019",147862,0.195625,1.08613,-5.84036,-2.40996,-9.83166,21.9728,-70.7209,28.0823,0.0253375,-0.0376375,-0.0304987
"DVIT_1021",147744,0.271125,1.06775,-19.0495,15.1087,21.4201,-179.422,120.365,-1.59082,0.165,-0.0148614,0.0469571
"DVIT_1025",138062,0.175375,1.1195,-3.63273,-5.10382,-2.86898,61.7623,-102.168,16.5657,-0.0133208,-0.0354625,6.2e-05
"DVIT_1028",147964,0.312,1.06288,-15.5754,8.07001,2.33052,-194.667,39.0124,-44.5273,0.151525,-0.00142112,0.035625
"DVIT_1029",140078,0.371375,1.17563,48.3845,13.084,3.27149,-250.363,-5.25549,-18.594,0.127213,0.0192563,0.0050725
"DVIT_1030",138063,0.231375,1.09137,-20.2123,-5.82552,-22.0134,-174.907,-111.907,19.9818,0.118638,-0.00333999,0.0128963
"DVIT_1031",147723,0.195625,1.06675,0.917961,-4.84052,4.02667,103.612,93.8169,-79.4962,-0.020225,-0.051675,0.01225
"DVIT_1032",147807,0.171,1.1195,8.22426,-22.2882,-0.571853,-15.4787,-111.727,-6.13417,0.0039,-0.0115,-0.046025
"DVIT_1034",147795,0.179625,1.082,13.3276,1.31209,11.7548,63.2369,29.1644,21.5047,-0.0298633,-0.01985,0.0439167
"DVIT_1036",147779,0.15925,1.08587,-34.9269,-5.80281,10.3423,111.903,76.2405,-15.5662,-0.0455333,0.063615,-0.0223617
