"ID","Treatment","DayOfImaging","bw_585","bw_590","bw_595","bw_600","bw_605","bw_610","bw_615","bw_620","bw_625","bw_630","bw_635","bw_640","bw_645","bw_650","bw_655","bw_660","bw_665","bw_670","bw_675","bw_680","bw_685","bw_690","bw_695","bw_700","bw_705","bw_710","bw_715","bw_720","bw_725","bw_730","bw_735","bw_740","bw_745","bw_750","bw_755","bw_760","bw_765","bw_770","bw_775","bw_780","bw_785","bw_790","bw_795","bw_800","bw_805","bw_810","bw_815","bw_820","bw_825","bw_830","bw_835","bw_840","bw_845","bw_850","bw_855","bw_860","bw_865","bw_870","bw_875","bw_880","bw_885","bw_890","bw_895","bw_900","bw_905","bw_910","bw_915","bw_920","bw_925","bw_930","bw_935","bw_940","bw_945","bw_950","bw_955","bw_960","bw_965","bw_970","bw_975","bw_980","bw_985","bw_990","bw_995","bw_1000","bw_1005","bw_1010","bw_1015","bw_1020","bw_1025","bw_1030","bw_1035","bw_1040","bw_1045","bw_1050","bw_1055","bw_1060","bw_1065","bw_1070","bw_1075","bw_1080","bw_1085","bw_1090","bw_1095","bw_1100","bw_1105","bw_1110","bw_1115","bw_1120","bw_1125","bw_1130","bw_1135","bw_1140","bw_1145","bw_1150","bw_1155","bw_1160","bw_1165","bw_1170","bw_1175","bw_1180","bw_1185","bw_1190","bw_1195","bw_1200","bw_1205","bw_1210","bw_1215","bw_1220","bw_1225","bw_1230","bw_1235","bw_1240","bw_1245","bw_1250","bw_1255","bw_1260","bw_1265","bw_1270","bw_1275","bw_1280","bw_1285","bw_1290","bw_1295","bw_1300","bw_1305","bw_1310","bw_1315","bw_1320","bw_1325","bw_1330","bw_1335","bw_1340","bw_1345","bw_1350","bw_1355","bw_1360","bw_1365","bw_1370","bw_1375","bw_1380","bw_1385","bw_1390","bw_1395","bw_1400","bw_1405","bw_1410","bw_1415","bw_1420","bw_1425","bw_1430","bw_1435","bw_1440","bw_1445","bw_1450","bw_1455","bw_1460","bw_1465","bw_1470","bw_1475","bw_1480","bw_1485","bw_1490","bw_1495","bw_1500","bw_1505","bw_1510","bw_1515","bw_1520","bw_1525","bw_1530","bw_1535","bw_1540","bw_1545","bw_1550","bw_1555","bw_1560","bw_1565","bw_1570","bw_1575","bw_1580","bw_1585","bw_1590","bw_1595","bw_1600","bw_1605","bw_1610","bw_1615","bw_1620","bw_1625","bw_1630","bw_1635","bw_1640","bw_1645","bw_1650","bw_1655","bw_1660","bw_1665","bw_1670","bw_1675","bw_1680","bw_1685","bw_1690","bw_1695","bw_1700","bw_1705","bw_1710","bw_1715","bw_1720","bw_1725","bw_1730","bw_1735","bw_1740","bw_1745","bw_1750","bw_1755"
"8-9 maize_89-281-54-3-W_2016-08-10_10-17-21_6494000","W",1,77.9888,85.0991,87.9034,78.8421,85.9515,84.2621,88.0046,83.9208,85.6643,83.5514,82.1942,78.7736,83.095,77.7348,77.6684,81.4415,79.4047,75.0572,71.0884,70.2534,70.2846,75.6658,71.0485,73.6122,77.4226,83.2202,87.8339,91.9121,98.8441,105.3224,108.5043,114.0439,120.8033,121.37,126.5232,125.8237,127.7215,126.0858,128.5483,127.953,128.3373,127.2708,128.0797,128.4093,127.2182,126.5973,121.372,127.4839,126.7307,126.8988,127.3464,126.9571,125.8952,125.5764,125.3199,125.0772,124.65,124.1829,123.1185,123.7169,121.8058,120.5641,120.2069,120.5243,120.862,120.1165,120.255,121.1191,121.2371,121.3005,121.1068,122.0807,121.1513,121.2831,119.8421,119.65,119.2356,118.6372,118.743,117.8998,116.5478,115.8641,114.3878,113.6939,113.4354,112.0276,113.3235,114.1037,113.7695,113.9142,113.9842,114.3194,115.2688,115.1661,115.8917,115.5049,116.0215,116.8758,118.2264,118.3766,117.4011,117.0388,116.0511,115.4727,115.0659,114.8094,114.2739,113.4844,113.5304,113.4584,113.5187,113.0491,113.1211,113.0235,112.7752,112.9673,112.2652,111.9377,109.4793,109.0501,108.2054,107.533,107.0669,106.5938,105.8196,104.9801,104.2897,102.839,101.1666,99.835,98.8493,97.9014,97.999,97.8339,98.4451,98.3705,99.7006,100.0383,97.626,100.3648,99.6878,100.045,100.7731,101.3424,101.999,103.0225,102.8707,103.2749,102.5156,102.3526,102.3792,102.8145,102.7629,102.2862,101.0087,99.3674,98.2115,96.5856,95.5141,93.6336,92.3832,89.7011,87.8615,85.5779,85.7563,82.2146,81.2453,78.5227,74.5958,69.301,64.8876,61.6142,56.7915,54.5933,52.2437,49.836,47.9699,47.4246,46.8983,45.8539,45.766,44.4093,44.258,44.7496,44.859,45.3526,44.1604,43.1247,43.2601,42.0368,41.3602,42.3536,43.4543,45.9453,44.8585,46.4911,47.859,49.5861,51.7859,53.0148,53.489,53.3291,53.6597,55.3444,56.8482,57.4604,58.6418,59.1461,61.0613,61.5723,62.6244,62.3812,62.9116,62.5764,64.6142,64.1962,83.3485,65.9627,65.769,66.2856,66.7425,67.5575,66.4027,68.1615,70.0199,70.8937,71.0199,71.7517,70.8927,70.4532,69.9157,70.3858,70.8472,72.7532,76.5927
"8-9 maize_89-282-39-3-D_2016-08-10_10-18-41_6494100","D",1,73.6696,73.7203,83.7058,72.2674,83.0659,84.0717,87.3558,82.5551,80.3275,82.3732,81.3572,80.842,76.9449,75.6377,75.4123,73.2601,77.1065,70.45,68.7804,69.8014,68.6529,68.8833,68.5978,71.1688,76.9072,81.2638,88.4188,93.2652,98.4775,104.7848,109.1993,114.2362,122.3957,125.0283,127.3522,128.3514,127.1203,127.429,128.8565,129.4348,129.6007,129.6797,129.5587,130.213,128.2449,128.537,124.2058,129.0333,128.5978,129.8594,128.3297,128.5217,126.8014,127.4428,127.1696,127.4986,126.9464,126.437,125.471,125.321,123.3022,123.1623,121.2116,122.6529,122.5239,120.8051,122.0391,122.3275,121.2362,122.2254,121.1239,122.029,122.3949,122.8826,121.1703,122.8681,121.8268,121.0957,120.9804,120.3601,119.6891,118.6942,117.4493,117.3341,116.7022,115.7246,116.5123,116.5645,116.3428,115.6507,115.358,116.0949,116.6616,116.6935,116.3652,116.9681,117.5804,118.5659,119.3732,119.9022,118.8841,118.1254,116.8261,116.2739,116.9971,116.3029,115.1514,115.321,115.2942,114.7565,115.1906,114.8362,115.1986,115.5217,114.6304,115.2,114.1986,113.0826,111.8855,111.2457,110.8942,109.4022,108.6935,108.3746,107.2435,107.6159,105.6971,103.9601,102.6826,102.0297,101.0022,100.3377,100.1848,99.9768,100.9167,101.2232,101.9058,102.7406,99.6572,101.7,101.2594,101.6036,102.1478,102.8123,103.6225,105.058,104.4529,104.8862,104.6565,105.2167,104.5957,103.6804,104.492,103.7623,102.4826,101.3116,99.6971,98.3572,96.908,95.6225,93.2928,92.9065,91.1109,88.0486,86.5261,83.2833,81.163,79.9993,74.1659,71.1319,65.6225,62.4014,57.4362,56.0819,52.1746,50.7435,48.8543,47.8551,45.5384,45.2413,45.0413,45.1377,42.9058,43.1399,42.4413,42.6196,41.4428,41.6913,40.9797,41.1681,40.7855,42.0862,43.5507,45.613,45.192,46.9833,47.8174,49.1609,48.6877,50.3283,52.7732,54.3464,55.8536,56.4558,59.0428,59.7529,57.992,57.563,56.3522,57.408,57.0913,58.1949,60.4058,62.4341,64.0855,64.6848,85.1681,65.9601,66.4022,66.1065,63.2986,63.3304,62.4384,65.192,68.2841,70.8768,72.3812,72.8275,72.1601,71.9362,72.0072,72.5384,75.321,76.3246,80.5051
"8-9 maize_89-283-79-3-W_2016-08-10_10-20-25_6494200","W",1,75.1411,80.9046,83.08,83.6727,85.196,87.3689,90.6809,83.0621,82.1693,84.8953,81.6644,82.7188,81.9133,76.0457,82.8984,74.9836,73.508,72.3289,71.6809,69.6065,71.5459,71.352,70.5003,74.3951,76.1257,82.6008,88.1652,92.8163,95.6968,103.9092,108.8189,113.8492,121.1524,121.704,126.0708,127.7886,128.1154,127.5634,128.5623,127.5003,129.4151,130.3756,129.8789,128.704,128.2673,128.8497,124.3853,128.4802,128.7276,128.979,128.4577,128.6491,127.0749,126.4407,126.296,126.7378,125.6732,124.8179,124.4869,123.882,122.9282,122.4377,120.9548,121.7912,121.4828,121.1503,121.0513,122.0831,121.4931,122.1036,122.3556,121.7773,122.2447,121.0611,120.609,120.7394,121.1426,120.4664,121.1939,119.0041,118.2217,117.8173,116.1416,115.394,115.0641,113.43,114.8502,115.0328,115.1657,114.3684,114.8584,115.1242,115.7111,115.7317,116.9764,116.529,116.8517,117.94,118.7825,119.0195,118.5398,117.4797,116.5156,115.3725,115.2114,115.0857,114.6403,114.5177,114.1714,113.9651,113.784,113.7717,114.3586,114.2571,113.7912,113.7917,112.8861,111.5233,110.5823,109.4715,108.843,108.1011,107.077,106.6737,105.8589,105.628,104.1662,102.548,100.9779,100.3551,99.5208,98.7075,98.5162,98.3966,99.9861,99.5541,99.7619,100.3586,98.0811,100.4295,99.6937,100.2381,100.3853,101.7522,101.8071,102.0585,103.2576,103.8317,102.8861,103.3874,102.9128,103.2925,103.3366,101.7224,100.5146,99.0313,98.0913,95.825,94.4767,93.4053,93.3468,89.508,88.2165,86.3571,83.7168,82.2848,80.7193,78.3976,72.7111,67.9974,63.3643,59.2971,57.5716,52.5875,51.4305,48.136,46.9713,46.332,45.0672,44.2786,44.9636,42.9836,43.5239,43.0872,43.3191,42.3889,41.6624,40.6768,40.9415,39.7973,40.6578,40.5156,41.7168,45.5782,44.1113,45.1154,48.1626,48.1308,49.4433,51.2468,52.2853,52.9728,53.4597,54.9733,55.1519,56.4972,58.686,57.0251,56.6501,56.6716,57.2345,59.0113,59.6798,62.3427,64.1601,65.0323,84.0375,67.0144,66.6224,64.3869,64.4787,64.2181,62.6198,66.2381,68.1965,69.7465,70.1642,69.2745,69.8497,69.6337,69.2104,70.0903,71.3987,74.5675,78.4772
"8-9 maize_89-284-48-3-D_2016-08-10_10-22-25_6494300","D",1,67.102,75.8679,76.8899,81.1316,79.9949,80.821,81.9266,87.6803,79.0688,80.7486,77.3197,76.9704,78.6257,75.3519,75.9312,72.5079,71.5105,67.7634,69.1438,66.8914,69.5696,67.898,68.1173,69.3891,74.4941,78.7068,84.6492,91.1341,96.4447,103.4941,107.7848,115.31,121.3437,122.1617,126.3972,127.4763,128.8761,128.1433,130.0495,127.9939,128.3243,128.0959,129.2387,128.1091,128.3565,129.255,123.923,129.7257,128.0643,129.8511,128.9021,128.4564,126.9689,127.4044,127.2234,125.9429,126.331,124.9363,124.4253,124.6012,123.3748,122.562,121.4049,122.4054,122.793,120.7486,122.7634,122.6782,122.3468,123.3432,122.2177,123.2019,122.7129,122.5319,122.5691,121.1708,121.4105,120.7879,120.6237,119.948,118.7471,117.2147,116.284,115.6894,115.461,113.4875,116.3814,115.948,115.8016,115.6191,115.6849,116.0143,116.8042,116.2361,117.617,117.2412,117.9969,118.8383,119.4783,119.5512,118.7619,118.3366,117.7297,116.258,116.3978,116.2743,115.3473,115.1387,114.9123,113.9929,114.6435,114.0051,114.7328,114.2733,114.6588,114.2912,113.9607,112.3442,111.7455,110.5094,110.6308,109.1147,108.9403,107.6563,107.6017,106.7542,105.3789,104.0311,102.7797,101.2958,99.9934,99.7251,99.7624,99.9403,100.2407,99.9949,100.5038,101.3585,99.2626,101.4176,101.5385,101.6986,102.1423,103.1953,103.2953,103.3508,104.0454,104.2009,104.2667,104.206,104.2336,104.3386,104.3967,103.0071,101.7236,100.4589,100.3182,97.538,96.155,95.7965,93.9939,91.5625,89.5533,88.0311,86.3962,84.0199,83.3707,79.6028,75.4778,69.7037,64.6685,60.3768,57.6451,53.6191,53.2953,49.3417,48.307,46.8623,47.2203,44.8531,46,44.0347,44.0214,44.3641,44.2336,44.0474,43.6354,44.4197,41.9271,41.8802,41.4493,43.6186,45.1622,45.3886,44.8516,47.3253,49.4508,50.565,50.7338,52.5023,54.0056,54.4003,54.5079,56.205,56.818,58.079,59.4467,61.1122,61.87,61.7629,62.7807,62.9791,64.4406,64.6191,65.8445,65.7104,85.3177,66.0474,66.7695,66.8684,68.1729,68.0148,68.0138,69.3921,69.9541,72.2162,72.1469,72.0184,72.6486,70.8628,72.0643,72.0224,72.255,74.3151,79.126
"8-9 maize_89-285-47-3-W_2016-08-10_10-24-28_6494400","W",1,76.5923,76.4931,77.4601,80.0441,84.7293,87.8264,90.2507,90.6928,88.3554,85.1033,82.4311,82.7314,83.6302,82.2569,81.1198,78.6653,78.0964,77.8912,78.1019,73.7197,78.6226,70.7576,73.8416,76.1997,78.4511,87.5372,87.7713,92.3671,97.9697,102.7486,107.9862,113.1908,121.0103,120.7603,125.4291,124.9242,125.4249,125.3444,127.1067,126.0455,128.427,126.1646,128.1233,125.8202,126.3161,126.4153,122.2438,126.2782,126.6522,126.5393,126.1026,126.4573,124.6419,125.261,124.0145,123.5482,124.9607,123.5751,122.4174,121.8333,120.6908,119.8691,119.0882,119.6949,120.1143,118.7135,120.8333,119.6047,119.0785,119.6171,119.6791,119.3781,119.2541,119.5826,118.4394,118.6777,119.9194,118.6288,119.0489,117.9917,116.8609,116.4249,115.2755,114.7259,114.4105,113.135,113.9415,113.9807,114.1143,112.6067,113.3926,113.3037,114.0207,114.0152,115.0785,114.6164,115.3685,116.199,117.1446,116.686,116.655,115.6777,114.0441,114.1157,113.7486,113.4904,112.6019,113.5152,112.5448,112.9208,113.1729,112.3244,112.8554,112.4552,112.5248,112.6398,112.093,110.8017,110.1687,108.699,107.5751,106.8946,106.449,105.5517,104.8437,104.2259,103.6185,102.3168,100.0324,99.9277,98.9022,97.9993,97.7927,97.2514,98.6219,99.3092,98.8884,100.0627,96.9311,99.1825,98.7307,99.0365,99.5255,100.5813,100.4394,101.1481,101.8554,102.2293,102.1563,102.0344,102.2321,101.8161,102.3547,100.6846,99.8478,98.4566,97.8705,96.447,93.7066,93.3237,91.7886,89.7796,88.5117,85.8526,85.1364,82.2879,80.8905,78.6715,73.3333,69.3113,64.5358,60.3698,58.4587,56.1474,52.9752,50.8581,49.124,48.1488,48.6412,45.5041,45.9256,44.5517,43.469,43.4063,44.5393,42.4559,42.261,40.801,40.23,39.9415,42.1584,41.6942,43.5034,45.2672,45.4952,46.458,45.801,48.3898,48.1736,49.1171,51.7238,52.8326,54.947,55.8581,57.0709,57.1556,57.0028,55.7218,55.4656,56.1763,56.8939,57.8926,58.9332,60.5213,62.6412,63.0785,83.9043,64.9855,64.6646,63.3471,61.6515,61.2707,61.0723,63.8154,66.0771,69.8519,71.166,69.0145,71.0021,69.2039,69.0737,71.2872,70.6185,74.6281,77.073
"8-9 maize_89-286-8-3-D_2016-08-10_10-26-18_6494500","D",1,71.2378,85.3184,81.6335,76.6186,84.6565,83.3523,85.1301,82.0908,84.6064,82.834,81.9566,81.6077,86.0691,78.5542,80.1755,80.1883,73.3537,74.6138,73.9282,72.6179,73.5623,70.2852,74.9201,77.6192,79.5867,83.8638,89.2168,94.2039,99.1524,105.7527,110.6362,113.9973,121.897,122.4722,126.4322,126.1606,126.5136,127.3625,128.5196,127.9878,128.481,128.2154,129.2188,127.3516,129.0183,129.124,123.6267,127.5732,126.9546,127.3896,128.1016,127.2392,126.7378,126.5454,126.5664,125.1375,126.561,125.9302,124.8896,123.4668,123.0603,121.4831,120.7114,122.5332,121.3679,120.2683,121.8286,121.5346,120.166,120.8699,120.7134,121.4079,121.6741,121.7107,120.7005,120.9329,120.794,120.4797,119.502,119.187,118.0942,117.2852,116.2263,115.5908,115.4817,113.8713,115.5738,116.2757,115.6301,113.9458,114.7026,114.7188,115.8509,115.979,116.2683,116.2852,117.0142,117.8991,118.8415,119.2249,118.6389,116.9864,116.2093,115.584,115.3672,115.2527,114.8449,115.6301,114.6504,114.2066,115.1341,114.6186,115.1558,114.4932,114.2148,114.3808,113.5806,112.4675,111.6491,110.6348,109.4289,108.5752,108.0183,107.4309,106.565,105.8618,105.0508,102.9275,101.9465,100.9336,101.3408,99.6795,99.2818,99.2364,99.5251,99.9627,100.4478,101.1084,98.5312,100.7351,100.54,100.9377,101.9316,102.0928,102.6436,103.1463,103.7012,104.9126,104.0251,103.8997,103.977,103.8144,104.0196,102.4675,101.6531,100.4207,98.5156,97.6965,95.6863,94.7595,93.5854,91.9499,89.855,87.1911,85.542,83.3056,80.9885,79.0217,74.3902,70.1145,64.9505,62.2398,57.4492,55.3645,52.166,50.2656,48.3598,47.6816,45.9478,45.9173,45.5359,45.3062,43.1701,43.7039,42.4058,43.0156,42.6606,41.1287,41.1843,40.1443,40.5251,41.9472,42.9085,45.664,45.1084,46.3408,46.4858,48.6362,48.5312,49.8238,53.0332,53.6341,54.7547,56.2107,58.2649,59.2358,57.6972,56.7615,56.1877,56.7148,57.6308,58.1944,59.626,61.5163,63.3618,64.7995,85.6294,66.2757,65.5671,64.1911,62.8659,61.8584,62.4268,65.9404,67.7351,70.372,70.6382,70.8069,71.8211,71.1965,71.3923,72.4045,72.5976,76.9743,79.0996
"8-9 maize_89-287-11-3-W_2016-08-10_10-28-08_6494600","W",1,68.8472,73.2565,77.7489,72.7659,80.077,78.0637,85.0952,83.9988,78.3827,79.8011,81.6707,79.5324,78.7229,77.1989,78.6938,75.4876,72.5555,66.7204,68.4378,68.4093,67.6847,66.1364,66.4973,68.8751,72.2887,79.1183,87.6264,90.4536,96.3808,104.3226,110.5173,114.5288,122.4821,123.664,127.3275,129.7186,129.584,128.4706,129.6422,129.3166,131.1298,129.3123,130.9206,129.1916,130.5688,129.7392,123.5167,128.5676,127.339,129.3535,129.1546,130.3651,128.5355,128.6277,128.0036,127.3936,127.4888,126.2959,124.9666,125.268,124.9248,123.4294,123.6786,124.5294,123.8581,122.3711,122.6416,123.8629,123.5785,123.4433,122.06,123.7987,123.5603,123.1243,122.1237,121.0879,121.4281,119.8957,120.2959,119.0503,118.325,117.47,116.2317,115.5919,115.6458,114.2486,115.7702,116.487,116.2899,115.9885,115.6774,115.1977,117.1067,116.1449,118.5106,118.2019,118.7902,120.0212,120.5822,120.9042,119.8951,118.9909,118.1049,117.4912,117.1831,116.9569,116.5349,116.6531,116.0697,115.5652,115.9054,115.3438,116.1947,115.8211,116.1898,115.5167,115.4051,113.5094,112.0588,111.4676,110.9964,109.3905,108.6064,107.943,108.1073,106.98,105.7811,104.6513,103.2129,103.3857,101.3626,100.1589,99.8884,99.2917,100.0431,100.735,101.487,101.4251,99.7878,101.282,101.8065,101.9861,102.9679,103.2244,104.0042,104.7132,105.3936,105.7271,105.6052,105.1164,106.2159,104.6968,104.5955,103.6883,102.6938,101.8727,99.8611,98.1922,97.1947,95.1322,94.8987,91.7696,90.3159,87.9788,86.8096,83.5039,82.5585,79.0067,73.7132,70.2583,65.2862,60.5373,56.393,54.7344,51.2596,49.2056,46.8435,47.769,44.8423,43.8084,44.3651,43.2007,43.618,42.2432,42.0212,41.2244,41.0188,41.1759,39.983,40.9321,40.6853,40.9721,43.0988,45.9187,44.5506,45.06,46.0782,48.8363,49.6125,49.7107,52.0849,53.5664,55.8866,55.4833,56.963,57.4033,57.8769,57.6804,56.9412,56.9818,58.1546,58.4433,60.6452,62.4936,64.661,65.2244,85.6367,67.1868,66.094,64.4136,63.4482,62.3626,63.9345,65.6343,67.8484,70.5252,71.5785,71.4797,71.9181,71.6495,71.7556,71.57,72.6913,75.8733,80.6719
"8-9 maize_89-288-77-3-D_2016-08-10_10-29-58_6494700","D",1,79.9766,78.2091,77.4614,74.2086,80.1355,82.3995,87.0929,80.5665,80.1223,81.864,78.1335,78.1218,77.9127,76.1558,74.7756,73.0193,71.9264,69.7203,70.7756,68.6503,70.3716,68.799,71.731,71.7467,74.4614,79.7234,85.7792,95.2741,97.7802,103.6452,107.7462,113.7447,120.3518,123.0508,125.8188,127.2457,127.5345,127.7117,126.6619,127.6168,129.2289,128.2741,129.9959,127.6624,128.6,128.2213,124.0284,128.6503,128.5843,129.1213,127.6051,127.997,126.6949,127.0832,126.8142,126.0548,126.6538,125.1086,124.6381,124.2096,123.4604,122.3477,121.4558,122.631,122.235,121.1056,122.7355,121.5893,121.4863,122.4873,121.6213,121.903,122.2051,123.2091,121.2959,121.4975,121.3046,121.0365,121.1914,119.7873,119.3766,117.7376,117.2345,116.3848,115.8797,115.0741,115.601,115.9203,115.536,114.4898,115.0558,114.8188,115.9467,116.4695,116.7964,117.1995,117.3807,118.9279,119.5269,119.3381,118.9812,117.6274,116.2102,115.9721,116.0299,115.2665,114.9513,115.6868,114.669,114.3457,114.7076,114.3619,115.2827,114.5533,114.0365,114.0325,113.0827,112.1076,111.5076,110.4832,109.7817,108.8096,108.3061,107.6655,107.0284,106.7168,105.1152,104.0914,102.3934,101.6701,101.3873,100.8878,100.3315,100.0477,101.3315,101.5289,101.4122,102.4873,98.9442,101.6173,100.7609,100.832,102.0914,102.3107,102.4609,103.0985,103.8193,104.2157,104.0782,104.1558,104.134,104.3594,104.0538,103.1426,101.2807,99.497,98.6381,96.8102,95.5264,94.8193,93.5264,91.1802,89.9188,88.0538,85.0599,83.6442,82.031,79.1787,73.7558,70.6914,65.1239,61.5173,58.502,55.3249,52.3457,49.6904,49.0096,47.9203,46.4249,46.2168,46.2487,44.7741,43.602,43.2959,43.4294,42.4213,42.8117,40.9553,40.5751,40.4695,41.2406,42.0711,43.1772,45.5751,45.1442,46.6401,48.133,49.0386,49.3371,50.4482,52.6391,54.3944,56.4213,55.9716,57.4416,58.5711,59.201,57.7086,57.4112,57.0482,58.4939,59.1802,61.3569,62.6376,63.933,65.3746,86.2254,66.568,66.6569,64.6381,63.6411,63.0137,63.1376,66.9685,68.3457,70.6391,71.034,70.4898,72.4431,71.3878,71.7508,72.2665,74.2315,77.3193,79.4345
"8-9 maize_89-289-83-3-W_2016-08-10_10-31-47_6494800","W",1,77.8718,75.5771,75.1127,76.5222,82.2253,81.989,86.2577,83.0971,90.5835,83.0971,83.777,80.7955,81.067,79.0953,78.7117,75.8694,75.9879,73.7233,72.0139,72.1231,77.4159,71.2548,71.1259,73.4685,78.8232,82.8169,88.6667,94.1519,99.0838,107.9116,110.0699,114.8868,121.9474,122.6667,126.8879,127.7296,127.8781,129.7701,129.4292,128.4258,129.3512,128.3172,130.6077,129.1895,129.4102,128.5875,124.368,130.108,129.364,129.8718,128.372,128.0329,126.7221,127.9757,127.108,125.9388,126.751,125.5823,125.5043,124.4477,124.294,122.6898,121.0485,121.8377,122.628,121.186,121.7631,121.911,121.3189,121.7562,121.3356,122.8267,122.8642,122.2646,122.063,121.3432,121.6124,121.8371,121.0393,120.2681,119.0797,118.3345,117.9365,116.7522,115.8492,114.223,115.9827,115.8053,115.5893,114.8394,115.0046,114.7227,115.866,115.7291,116.3068,116.9232,117.8255,118.3784,119.472,119.2363,118.9451,117.7799,116.7568,116.275,115.8544,115.9295,114.8712,114.8036,114.0959,114.535,114.4893,114.368,114.5904,114.2247,114.0913,114.7672,113.2571,111.9798,110.9665,110.9393,109.1005,108.7239,109.3426,107.2779,106.948,105.8521,105.1791,103.4708,102.3755,100.9474,100.6568,100.4061,100.0508,99.7215,100.5609,100.7631,101.8671,101.5303,98.5898,101.4414,100.498,100.5627,100.9509,102.5038,103.1612,102.8088,103.3755,103.6522,103.2686,104.2698,103.6378,103.621,104.2461,102.7418,101.3235,99.6395,98.6337,96.7383,95.4806,94.5078,93.0474,90.9879,89.8631,87.0543,85.0797,83.3027,81.2496,79.3125,74.3362,69.7175,65.8278,62.9486,57.8342,56.7418,52.7036,50.3911,49.1213,48.1646,46.5517,46.7863,45.2987,44.8284,43.4223,43.8654,42.8943,41.9711,43.5072,41.1999,40.5165,41.7042,41.6724,42.0965,43.7377,46.4281,45.8134,45.5939,46.7741,49.1046,49.9988,49.7389,52.1594,53.9405,56.0237,56.6984,57.5713,57.844,57.7516,56.9434,56.9087,57.115,56.9757,57.7389,60.8186,62.0878,62.7741,64.4622,85.5592,67.063,65.5188,64.108,63.0017,62.9792,62.3131,64.6303,69.8602,70.8007,72.3177,70.5586,71.5309,70.4194,72.8833,72.3853,72.1895,74.9815,80.1386
"8-9 maize_89-290-61-3-D_2016-08-10_10-33-37_6494900","D",1,65.3993,71.2268,76.2997,70.7588,78.9581,78.3856,83.2041,74.1615,81.2522,76.4447,79.6845,76.6577,76.2832,71.9595,70.1725,70.9038,68.7237,66.5162,67.2213,70.3904,65.145,64.4144,65.5622,68.7849,73.4591,76.9216,82.444,88.2715,93.7292,102.9141,108.1595,114.0955,122.011,122.5897,127.3203,127.5333,128.5869,126.2344,129.4605,129.6605,129.7045,129.2639,129.9416,128.9959,128.9395,128.912,123.2227,127.8976,127.2756,128.4584,128.9148,128.6399,127.9986,128.1959,127.4838,126.4069,126.4942,124.8481,124.3649,124.8577,123.246,123.3608,122.3416,123.1471,124.1629,121.5423,122.2027,122.9223,122.6742,124.2529,124.6213,123.1485,123.9395,122.3835,121.466,121.1333,120.5938,119.9457,119.5918,118.8186,117.6639,117.0447,115.5601,114.8041,114.7368,113.3505,115.5746,115.8976,115.3347,115.2206,115.4309,115.5162,117.0351,116.422,117.3718,117.879,118.4598,119.7058,120.1519,120.1416,118.6515,119.2357,118.0639,117.69,117.1196,117.4591,116.2708,116.3835,115.7148,115.2344,115.5299,115.6241,115.556,115.7546,115.5615,115.7196,114.9533,113.6096,111.9258,110.8653,109.879,109.2735,108.745,107.8818,107.5574,106.5306,105.6962,104.5546,103.2014,101.9017,101.4797,99.578,99.657,99.1423,100.1814,100.189,101.0797,101.3168,99.3973,102.8729,103.9876,103.4261,104.8206,103.9828,104.701,105.4756,105.3739,105.3265,105.51,105.9148,105.7945,105.0488,104.9278,104.0082,103.2378,101.5979,100.7141,98.8371,97.0784,96.5835,94.8344,92.5292,90.4206,88.7134,86.5698,84.1402,84.079,80.877,75.9615,70.9553,65.2399,61.7725,58.9856,55.321,53.1732,50.2371,46.9828,45.9725,45.356,44.1058,44.2467,43.4165,43.6165,42.7698,42.5361,42.8976,44.7381,41.9505,41.8089,41.6495,42.3663,42.9704,43.6564,46.2412,45.4605,46.3718,48.8034,51.3835,50.4261,52.5079,53.8302,55.0825,55.3416,56.2385,57.5416,58.1519,59.5945,59.1155,59.1485,59.3306,60.9258,61.5134,62.9148,66.0564,65.9629,65.8997,86.2275,67.0158,67.6921,67.167,66.8007,64.8289,65.7643,68.9801,71.0234,73.2254,74.0144,72.4385,73.312,73.2577,72.6674,72.3663,72.8619,74.8385,76.9595
